"Series";"Time";"Value"
"hadoop";"2018-12-17T08:24:00+08:00";4,563,701,760
"hadoop";"2018-12-17T08:32:00+08:00";5,948,870,656
"hadoop";"2018-12-17T08:40:00+08:00";6,524,940,288
"hadoop";"2018-12-17T08:48:00+08:00";6,526,840,832
"hadoop";"2018-12-17T08:56:00+08:00";6,441,242,624
"hadoop";"2018-12-17T09:04:00+08:00";6,018,297,856
"hadoop";"2018-12-17T09:12:00+08:00";4,591,136,768
"hadoop";"2018-12-17T09:20:00+08:00";4,599,586,816
"hadoop";"2018-12-17T09:28:00+08:00";5,596,344,320
"hadoop";"2018-12-17T09:36:00+08:00";6,272,184,320
"hadoop";"2018-12-17T09:44:00+08:00";6,534,287,360
"hadoop";"2018-12-17T09:52:00+08:00";6,563,221,504
"hadoop";"2018-12-17T10:00:00+08:00";6,031,302,656
"hadoop";"2018-12-17T10:08:00+08:00";5,891,203,072
"hadoop";"2018-12-17T10:16:00+08:00";4,676,493,312
"hadoop";"2018-12-17T10:24:00+08:00";5,766,447,104
"hadoop";"2018-12-17T10:32:00+08:00";6,368,452,608
"hadoop";"2018-12-17T10:40:00+08:00";6,403,403,776
"hadoop";"2018-12-17T10:48:00+08:00";6,167,355,392
"hadoop";"2018-12-17T10:56:00+08:00";5,989,531,648
"hadoop";"2018-12-17T11:04:00+08:00";5,398,958,080
"hadoop";"2018-12-17T11:12:00+08:00";4,743,704,576
"hadoop";"2018-12-17T11:20:00+08:00";5,671,661,568
"hadoop";"2018-12-17T11:28:00+08:00";6,457,212,928
"hadoop";"2018-12-17T11:36:00+08:00";6,209,875,968
"hadoop";"2018-12-17T11:44:00+08:00";6,686,875,648
"hadoop";"2018-12-17T11:52:00+08:00";5,441,957,888
"hadoop";"2018-12-17T12:00:00+08:00";5,253,337,088
"hadoop";"2018-12-17T12:08:00+08:00";4,718,657,536
"hadoop";"2018-12-17T12:16:00+08:00";5,941,657,600
"hadoop";"2018-12-17T12:24:00+08:00";6,848,970,752
"hadoop";"2018-12-17T12:32:00+08:00";6,537,523,200
"hadoop";"2018-12-17T12:40:00+08:00";6,627,926,016
"hadoop";"2018-12-17T12:48:00+08:00";6,235,578,368
"hadoop";"2018-12-17T12:56:00+08:00";5,305,061,376
"hadoop";"2018-12-17T13:04:00+08:00";4,729,364,480
"hadoop";"2018-12-17T13:12:00+08:00";5,894,037,504
"hadoop";"2018-12-17T13:20:00+08:00";6,200,823,808
"hadoop";"2018-12-17T13:28:00+08:00";6,654,509,056
"hadoop";"2018-12-17T13:36:00+08:00";6,496,870,400
"hadoop";"2018-12-17T13:44:00+08:00";5,877,460,992
"hadoop";"2018-12-17T13:52:00+08:00";5,391,040,512
"hadoop";"2018-12-17T14:00:00+08:00";4,761,214,976
"hadoop";"2018-12-17T14:08:00+08:00";5,903,265,792
"hadoop";"2018-12-17T14:16:00+08:00";6,531,170,304
"hadoop";"2018-12-17T14:24:00+08:00";7,017,467,904
"hadoop";"2018-12-17T14:32:00+08:00";6,307,987,456
"hadoop";"2018-12-17T14:40:00+08:00";6,713,270,272
"hadoop";"2018-12-17T14:48:00+08:00";5,453,938,688
"hadoop";"2018-12-17T14:56:00+08:00";4,804,042,752
"hadoop";"2018-12-17T15:04:00+08:00";6,030,192,640
"hadoop";"2018-12-17T15:12:00+08:00";6,690,328,576
"hadoop";"2018-12-17T15:20:00+08:00";6,534,848,512
"hadoop";"2018-12-17T15:28:00+08:00";6,863,912,960
"hadoop";"2018-12-17T15:36:00+08:00";5,984,202,752
"hadoop";"2018-12-17T15:44:00+08:00";4,794,396,672
"hadoop";"2018-12-17T15:52:00+08:00";4,796,170,240
"hadoop";"2018-12-17T16:00:00+08:00";5,544,144,896
"hadoop";"2018-12-17T16:08:00+08:00";6,710,759,424
"hadoop";"2018-12-17T16:16:00+08:00";6,684,954,624
"hadoop";"2018-12-17T16:24:00+08:00";4,845,744,128
"wordpress";"2018-12-16T16:16:00+08:00";364,519,424
"wordpress";"2018-12-16T16:24:00+08:00";364,519,424
"wordpress";"2018-12-16T16:32:00+08:00";2,054,025,216
"wordpress";"2018-12-16T16:40:00+08:00";364,331,008
"wordpress";"2018-12-16T16:48:00+08:00";364,331,008
"wordpress";"2018-12-16T16:56:00+08:00";1,397,006,336
"wordpress";"2018-12-16T17:04:00+08:00";365,658,112
"wordpress";"2018-12-16T17:12:00+08:00";365,633,536
"wordpress";"2018-12-16T17:20:00+08:00";365,633,536
"wordpress";"2018-12-16T17:28:00+08:00";468,803,584
"wordpress";"2018-12-16T17:36:00+08:00";353,935,360
"wordpress";"2018-12-16T17:44:00+08:00";353,935,360
"wordpress";"2018-12-16T17:52:00+08:00";1,294,266,368
"wordpress";"2018-12-16T18:00:00+08:00";361,676,800
"wordpress";"2018-12-16T18:08:00+08:00";361,676,800
"wordpress";"2018-12-16T18:16:00+08:00";2,158,759,936
"wordpress";"2018-12-16T18:24:00+08:00";361,734,144
"wordpress";"2018-12-16T18:32:00+08:00";361,734,144
"wordpress";"2018-12-16T18:40:00+08:00";2,422,718,464
"wordpress";"2018-12-16T18:48:00+08:00";353,292,288
"wordpress";"2018-12-16T18:56:00+08:00";353,292,288
"wordpress";"2018-12-16T19:04:00+08:00";2,276,667,392
"wordpress";"2018-12-16T19:12:00+08:00";359,665,664
"wordpress";"2018-12-16T19:20:00+08:00";361,603,072
"wordpress";"2018-12-16T19:28:00+08:00";2,267,123,712
"wordpress";"2018-12-16T19:36:00+08:00";354,308,096
"wordpress";"2018-12-16T19:44:00+08:00";354,308,096
"wordpress";"2018-12-16T19:52:00+08:00";1,952,714,752
"wordpress";"2018-12-16T20:00:00+08:00";358,588,416
"wordpress";"2018-12-16T20:08:00+08:00";358,588,416
"wordpress";"2018-12-16T20:16:00+08:00";1,426,272,256
"wordpress";"2018-12-16T20:24:00+08:00";360,738,816
"wordpress";"2018-12-16T20:32:00+08:00";360,718,336
"wordpress";"2018-12-16T20:40:00+08:00";360,718,336
"wordpress";"2018-12-16T20:48:00+08:00";478,724,096
"wordpress";"2018-12-16T20:56:00+08:00";363,769,856
"wordpress";"2018-12-16T21:04:00+08:00";363,769,856
"wordpress";"2018-12-16T21:12:00+08:00";1,296,277,504
"wordpress";"2018-12-16T21:20:00+08:00";351,227,904
